URL,Title,Address
https://newyork.craigslist.org/que/egr/d/architectural-drafting/6561497273.html,Architectural Drafting,North Flushing
https://newyork.craigslist.org/que/egr/d/currently-hiring-experienced/6560371986.html,CURRENTLY HIRING EXPERIENCED AUTOCAD DRAFTER,Queens
https://newyork.craigslist.org/wch/egr/d/architect/6560358895.html,Architect,Yonkers
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6560355507.html,Facade / Building Envelope Engineer or Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6560354686.html,Exterior Restoration / Recent Graduate,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6560353505.html,Facade / Building Envelope Project Architect or Engineer,TriBeCa
https://newyork.craigslist.org/brk/egr/d/creative-architect-mechanical/6560334521.html,Creative Architect/Mechanical Engineer,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/architectural-draftsperson/6560280422.html,Architectural Draftsperson,
https://newyork.craigslist.org/mnh/egr/d/architectural-position-upper/6560275449.html,Architectural Position (Upper East Side),Upper East Side
https://newyork.craigslist.org/mnh/egr/d/hvac-engineers/6560212079.html,HVAC ENGINEERS,Midtown
https://newyork.craigslist.org/mnh/egr/d/architect-engineer/6560188374.html,Architect/Engineer,Midtown West
https://newyork.craigslist.org/brk/egr/d/immediate-opening-lighting/6560147352.html,IMMEDIATE OPENING; LIGHTING DESIGNER AT CREATIVE STUDIO,BROOKLYN
https://newyork.craigslist.org/jsy/egr/d/environmental-specialist/6560069637.html,Environmental Specialist,Woodcliff Lake
https://newyork.craigslist.org/brk/egr/d/nys-licensed-architect/6560048680.html,NYS Licensed Architect,
https://newyork.craigslist.org/mnh/egr/d/interior-designer-with/6559914382.html,Interior Designer with Procurement experience,Midtown East
https://newyork.craigslist.org/mnh/egr/d/digital-fabricator-and/6559397176.html,Digital Fabricator and Architectural Model Maker,New York
https://newyork.craigslist.org/mnh/egr/d/store-development-development/6559378415.html,Store Development/Development Services Coordinator,Flatiron
https://newyork.craigslist.org/mnh/egr/d/project-architect-nyccom1810/6559371494.html,Project Architect (NYCCOM1810),Flatiron
https://newyork.craigslist.org/mnh/egr/d/architecture-project-manager/6559361711.html,Architecture Project Manager (NYCCOM1810),Flatiron
https://newyork.craigslist.org/brk/egr/d/quantity-surveyor-estimator/6559335240.html,Quantity Surveyor/Estimator,Brooklyn
https://newyork.craigslist.org/que/egr/d/free-lance-sketchup-2018/6559058260.html,◄◄  FREE-LANCE SKETCHUP 2018 PROFESSIONAL AVAILABLE FOR YOUR PROJECT,"Queens, New York"
https://newyork.craigslist.org/mnh/egr/d/assistant-mechanical-project/6558929040.html,ASSISTANT MECHANICAL PROJECT MANAGER,MANHATTAN
https://newyork.craigslist.org/mnh/egr/d/expeditor/6558887123.html,Expeditor,NYC
https://newyork.craigslist.org/mnh/egr/d/construction-super-intendent/6558834674.html,Construction Super Intendent,Manhattan
https://newyork.craigslist.org/mnh/egr/d/junior-interior-designer/6558356722.html,Junior Interior Designer,Downtown
https://newyork.craigslist.org/mnh/egr/d/project-supervisor-40-50k/6558344047.html,Project Supervisor -- $40-50k,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/concrete-testing-field/6558341102.html,Concrete Testing Field Inspector,
https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6558297700.html,Intermediate Architect,Midtown West
https://newyork.craigslist.org/lgi/egr/d/project-manager-needed-for/6558099916.html,Project Manager needed for busy construction company,Hauppauge
https://newyork.craigslist.org/mnh/egr/d/junior-architect/6558033225.html,Junior Architect,Downtown
https://newyork.craigslist.org/mnh/egr/d/junior-to-intermediate/6558014739.html,Junior to Intermediate Architect,West Village
https://newyork.craigslist.org/brk/egr/d/construction-project-manager/6557535459.html,Construction Project Manager,"Brooklyn, NY"
https://newyork.craigslist.org/brk/egr/d/architectural-spatial-design/6557469065.html,Architectural/spatial design intern at art studio,
https://newyork.craigslist.org/brk/egr/d/intermediate-architect-drafter/6557453808.html,Intermediate Architect/Drafter,
https://newyork.craigslist.org/brk/egr/d/jr-architectural-designer/6557438982.html,Jr. Architectural Designer,Brooklyn Heights
https://newyork.craigslist.org/mnh/egr/d/safety-professional/6557415719.html,Safety Professional,"Brooklyn, NY Metro"
https://newyork.craigslist.org/mnh/egr/d/cad-drafter-project-manager/6557390287.html,CAD Drafter / Project Manager,Midtown
https://newyork.craigslist.org/que/egr/d/architectural-draftsman/6557389672.html,Architectural Draftsman,
https://newyork.craigslist.org/que/egr/d/estimator-position/6557373030.html,Estimator Position,Long Island City
https://newyork.craigslist.org/wch/egr/d/architect-drafter/6557369291.html,Architect/Drafter,Elmsford
https://newyork.craigslist.org/brk/egr/d/estimator-autocad-drafter/6557359892.html,Estimator AutoCAD / Drafter,
https://newyork.craigslist.org/mnh/egr/d/service-department-assistant/6557327679.html,Service Department Assistant Project Manager,Manhattan
https://newyork.craigslist.org/mnh/egr/d/kitchen-and-bath-designer/6557320437.html,Kitchen and Bath Designer,Upper West Side
https://newyork.craigslist.org/brk/egr/d/auto-cad-retail-floor-and/6557201567.html,Auto CAD Retail Floor  and Custom Display Designer needed.,"Brooklyn, NY"
